Dept.,Course,Start Date,Start Time,Duration (Mins),End Date,End Time,Location,Availability
BUSI,BUSI 1004 A,Dec-16-2024,14:00,180,Dec-16-2024,17:00,FH,Fixed Duration
BUSI,BUSI 1005 A,Dec-16-2024,14:00,180,Dec-16-2024,17:00,AH,Fixed Duration
BUSI,BUSI 1401 A,Dec-10-2024,14:00,180,Dec-10-2024,17:00,AH,Fixed Duration
BUSI,BUSI 1401 B,Dec-10-2024,14:00,180,Dec-10-2024,17:00,AH,Fixed Duration
BUSI,BUSI 1401 C,Dec-10-2024,14:00,180,Dec-10-2024,17:00,AH,Fixed Duration
BUSI,BUSI 1401 D,Dec-10-2024,14:00,180,Dec-10-2024,17:00,AH,Fixed Duration
BUSI,BUSI 1800 A,Dec-19-2024,09:00,180,Dec-19-2024,12:00,AH,Fixed Duration
BUSI,BUSI 1800 B,Dec-19-2024,09:00,180,Dec-19-2024,12:00,AH,Fixed Duration
BUSI,BUSI 1800 C,Dec-19-2024,09:00,180,Dec-19-2024,12:00,AH,Fixed Duration
BUSI,BUSI 2001 A,Dec-20-2024,09:00,180,Dec-20-2024,12:00,HS 1301,Fixed Duration
BUSI,BUSI 2001 R,Dec-20-2024,09:00,180,Dec-20-2024,12:00,HS 1301,Fixed Duration
BUSI,BUSI 2002 A,Dec-16-2024,14:00,180,Dec-16-2024,17:00,NI 4010,Fixed Duration
BUSI,BUSI 2101 A,Dec-18-2024,14:00,180,Dec-18-2024,17:00,AH,Fixed Duration
BUSI,BUSI 2121 A,Dec-19-2024,19:00,180,Dec-19-2024,22:00,NI 4010,Fixed Duration
BUSI,BUSI 2204 A,Dec-17-2024,09:00,180,Dec-17-2024,12:00,HS 1301,Fixed Duration
BUSI,BUSI 2208 A,Dec-18-2024,09:00,150,Dec-18-2024,11:30,NI 4010,Fixed Duration
BUSI,BUSI 2208 B,Dec-18-2024,09:00,150,Dec-18-2024,11:30,HS 1301,Fixed Duration
BUSI,BUSI 2208 C,Dec-18-2024,09:00,150,Dec-18-2024,11:30,HS 1301,Fixed Duration
BUSI,BUSI 2301 A,Dec-10-2024,09:00,150,Dec-10-2024,11:30,FH,Fixed Duration
BUSI,BUSI 2301 B,Dec-14-2024,19:00,180,Dec-14-2024,22:00,ON LINE,Fixed Duration
BUSI,BUSI 2301 C,Dec-14-2024,19:00,180,Dec-14-2024,22:00,ON LINE,Fixed Duration
BUSI,BUSI 2401 A,Dec-11-2024,14:00,120,Dec-11-2024,16:00,NI 3020,Fixed Duration
BUSI,BUSI 2401 A,Dec-11-2024,14:00,120,Dec-11-2024,16:00,NI 3030,Fixed Duration
BUSI,BUSI 2401 B,Dec-11-2024,14:00,120,Dec-11-2024,16:00,NI 4010,Fixed Duration
BUSI,BUSI 2401 C,Dec-11-2024,14:00,120,Dec-11-2024,16:00,NI 4020,Fixed Duration
BUSI,BUSI 2401 C,Dec-11-2024,14:00,120,Dec-11-2024,16:00,NI 5010,Fixed Duration
BUSI,BUSI 2402 A,Dec-20-2024,09:00,180,Dec-20-2024,12:00,NI 4010,Fixed Duration
BUSI,BUSI 2501 A,Dec-17-2024,14:00,180,Dec-17-2024,17:00,AT 102,Fixed Duration
BUSI,BUSI 2503 R,Dec-11-2024,09:00,180,Dec-11-2024,12:00,AH,Fixed Duration
BUSI,BUSI 2505 A,Dec-19-2024,09:00,180,Dec-19-2024,12:00,NI 3030,Fixed Duration
BUSI,BUSI 2506 A,Dec-15-2024,09:00,180,Dec-15-2024,12:00,NI 4050,Fixed Duration
BUSI,BUSI 2601 A,Dec-20-2024,19:00,120,Dec-20-2024,21:00,FH,Fixed Duration
BUSI,BUSI 2702 A,Dec-12-2024,14:00,,Dec-19-2024,14:00,ON LINE,Range
BUSI,BUSI 3001 R,Dec-17-2024,09:00,180,Dec-17-2024,12:00,NI 4010,Fixed Duration
BUSI,BUSI 3005 A,Dec-11-2024,09:00,180,Dec-11-2024,12:00,NI 4010,Fixed Duration
BUSI,BUSI 3005 B,Dec-11-2024,09:00,180,Dec-11-2024,12:00,NI 4010,Fixed Duration
BUSI,BUSI 3007 A,Dec-12-2024,14:00,180,Dec-12-2024,17:00,NI 4010,Fixed Duration
BUSI,BUSI 3007 B,Dec-12-2024,14:00,180,Dec-12-2024,17:00,NI 4010,Fixed Duration
BUSI,BUSI 3008 A,Dec-14-2024,19:00,180,Dec-14-2024,22:00,AT 301,Fixed Duration
BUSI,BUSI 3040 A,Dec-9-2024,09:00,180,Dec-9-2024,12:00,RB 2308,Fixed Duration
